5	5	606	220	227
13035200	12858800
0	0	0	30	20	50	0	1	1
0	0	50	30	20	100	0	1	1
0	0	100	30	20	150	0	1	1
0	0	150	30	20	200	0	1	1
30	0	0	60	20	50	0	1	1
30	0	50	60	20	100	0	1	1
30	0	100	60	20	150	0	1	1
30	0	150	60	20	200	0	1	1
60	0	0	90	20	50	0	1	1
60	0	50	90	20	100	0	1	1
60	0	100	90	20	150	0	1	1
60	0	150	90	20	200	0	1	1
90	0	0	120	20	50	0	1	1
90	0	50	120	20	100	0	1	1
90	0	100	120	20	150	0	1	1
90	0	150	120	20	200	0	1	1
120	0	0	150	20	50	0	1	1
120	0	50	150	20	100	0	1	1
120	0	100	150	20	150	0	1	1
120	0	150	150	20	200	0	1	1
150	0	0	180	20	50	0	1	1
150	0	50	180	20	100	0	1	1
150	0	100	180	20	150	0	1	1
150	0	150	180	20	200	0	1	1
180	0	0	210	20	50	0	1	1
180	0	50	210	20	100	0	1	1
180	0	100	210	20	150	0	1	1
180	0	150	210	20	200	0	1	1
210	0	0	240	20	50	0	1	1
210	0	50	240	20	100	0	1	1
210	0	100	240	20	150	0	1	1
210	0	150	240	20	200	0	1	1
240	0	0	270	20	50	0	1	1
240	0	50	270	20	100	0	1	1
240	0	100	270	20	150	0	1	1
240	0	150	270	20	200	0	1	1
270	0	0	300	20	50	0	1	1
270	0	50	300	20	100	0	1	1
270	0	100	300	20	150	0	1	1
270	0	150	300	20	200	0	1	1
0	20	0	75	70	50	2	2	2
0	70	0	75	120	50	2	2	2
0	120	0	75	170	50	2	2	2
0	170	0	75	220	50	2	2	2
75	20	0	150	70	50	2	2	2
75	70	0	150	120	50	2	2	2
75	120	0	150	170	50	2	2	2
75	170	0	150	220	50	2	2	2
150	20	0	225	70	50	2	2	2
150	70	0	225	120	50	2	2	2
150	120	0	225	170	50	2	2	2
150	170	0	225	220	50	2	2	2
225	20	0	300	70	50	2	2	2
225	70	0	300	120	50	2	2	2
225	120	0	300	170	50	2	2	2
225	170	0	300	220	50	2	2	2
300	20	0	375	70	50	2	2	2
300	70	0	375	120	50	2	2	2
300	120	0	375	170	50	2	2	2
300	170	0	375	220	50	2	2	2
375	20	0	450	70	50	2	2	2
375	70	0	450	120	50	2	2	2
375	120	0	450	170	50	2	2	2
375	170	0	450	220	50	2	2	2
450	20	0	525	70	50	2	2	2
450	70	0	525	120	50	2	2	2
450	120	0	525	170	50	2	2	2
450	170	0	525	220	50	2	2	2
525	20	0	600	70	50	2	2	2
525	70	0	600	120	50	2	2	2
525	120	0	600	170	50	2	2	2
525	170	0	600	220	50	2	2	2
0	0	200	50	12	212	3	3	3
0	0	212	50	12	224	3	3	3
50	0	200	100	12	212	3	3	3
50	0	212	100	12	224	3	3	3
100	0	200	150	12	212	3	3	3
100	0	212	150	12	224	3	3	3
150	0	200	200	12	212	3	3	3
150	0	212	200	12	224	3	3	3
200	0	200	250	12	212	3	3	3
200	0	212	250	12	224	3	3	3
250	0	200	300	12	212	3	3	3
250	0	212	300	12	224	3	3	3
0	52	50	50	94	71	4	4	4
0	94	50	50	136	71	4	4	4
0	136	50	50	178	71	4	4	4
0	178	50	50	220	71	4	4	4
0	20	50	30	40	100	0	5	5
0	20	100	30	40	150	0	5	5
0	20	150	30	40	200	0	5	5
0	40	50	12	52	100	3	6	6
12	40	50	24	52	100	3	6	6
24	40	50	36	52	100	3	6	6
36	40	50	48	52	100	3	6	6
48	40	50	60	52	100	3	6	6
60	40	50	72	52	100	3	6	6
72	40	50	84	52	100	3	6	6
84	40	50	96	52	100	3	6	6
96	40	50	108	52	100	3	6	6
108	40	50	120	52	100	3	6	6
120	40	50	132	52	100	3	6	6
132	40	50	144	52	100	3	6	6
144	40	50	156	52	100	3	6	6
156	40	50	168	52	100	3	6	6
168	40	50	180	52	100	3	6	6
180	40	50	192	52	100	3	6	6
192	40	50	204	52	100	3	6	6
204	40	50	216	52	100	3	6	6
50	120	50	150	220	100	1	7	7
50	52	50	150	102	150	1	8	8
150	52	50	250	102	150	1	8	8
250	52	50	350	102	150	1	8	8
350	52	50	450	102	150	1	8	8
450	52	50	550	102	150	1	8	8
50	52	150	92	102	171	4	9	9
92	52	150	134	102	171	4	9	9
134	52	150	176	102	171	4	9	9
176	52	150	218	102	171	4	9	9
218	52	150	260	102	171	4	9	9
260	52	150	302	102	171	4	9	9
302	52	150	344	102	171	4	9	9
344	52	150	386	102	171	4	9	9
150	120	50	200	220	150	1	10	10
200	120	50	250	220	150	1	10	10
250	120	50	300	220	150	1	10	10
300	120	50	350	220	150	1	10	10
5	1

606	220	227

0	30	1	50	1	20	1	43	10000	40000	40000	40000	0	4	

1	50	1	100	0	100	1	10	10000	0	0	8	0	0	

2	75	0	50	0	50	1	32	10000	40000	40000	40000	0	18	

3	12	0	50	1	12	1	30	10000	40000	40000	40000	0	6	

4	50	0	42	0	21	1	12	10000	0	0	0	0	16	

