10	1

606	220	227

0	20	1	150	1	150	1	5	10000	3	4	16	0	0	Table

1	50	0	100	1	45	1	10	10000	4000000	0	0	0	0	Tv

2	50	1	200	0	40	1	15	10000	0	4000000	5	0	0	Bed

3	50	0	60	0	35	1	20	10000	4000000	4000000	5	0	0	Chair

4	50	1	70	1	30	1	25	10000	4000000	4000000	4000000	0	0	Item 4

5	50	1	80	1	25	1	5	10000	4000000	4000000	4000000	0	0	Item 5

6	50	1	90	1	20	1	10	10000	4000000	4000000	4000000	0	0	Item 6

7	50	1	100	1	15	1	15	10000	4000000	4000000	4000000	0	0	Item 7

8	50	1	110	1	10	1	20	10000	4000000	4000000	4000000	0	0	Item 8

9	50	1	30	1	50	1	25	10000	4000000	4000000	4000000	0	0	Item 9

