11	1

220	243	227

0	50	1	50	1	50	1	1	10000	40000	40000	40000	0	6

1	50	1	50	1	50	1	1	10000	40000	40000	40000	0	4

2	50	1	50	1	50	1	1	10000	40000	40000	40000	0	3

3	50	1	50	1	50	1	1	10000	40000	40000	40000	0	5

4	100	1	50	1	50	1	13	10000	40000	40000	40000	0	7

5	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

6	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

7	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

8	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

9	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

10	50	1	50	1	50	1	1	10000	40000	40000	40000	0	0

